baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000033845	261.088607629036	-0.465982724941691	0.179978400374319	-2.58910360339096	0.00962261387044139	0.0205595376235352
ENSMUSG00000025903	499.149665358477	0.102575595820836	0.126865589786611	0.808537571088965	0.418781186628411	0.523743590379751
ENSMUSG00000033813	1223.88830384438	0.412023252777403	0.0975018104278659	4.22580104891721	2.38092280902603e-05	7.95263260414663e-05
ENSMUSG00000002459	54.6740109989745	0.294400207660123	0.335019561340575	0.878755277698071	0.379533979666626	0.484700804586755
ENSMUSG00000033793	1206.6353735193	0.551219609114355	0.0976780581145006	5.6432285792189	1.66890537377127e-08	7.68310869856008e-08
ENSMUSG00000025907	1530.36126659721	0.465501958382197	0.0938245063918295	4.96141121636356	6.99828569272142e-07	2.75945917517056e-06
ENSMUSG00000090031	45.8785854925941	-0.179371616253046	0.378626275596288	-0.473743181110605	0.635683056701308	0.719657816154691
ENSMUSG00000051285	1223.2859385294	0.284251817683776	0.0939474995940921	3.02564537546938	0.00248103103183258	0.00603873590766798
ENSMUSG00000103509	75.8558185546428	-0.299123791487574	0.294594853678335	-1.01537344509821	0.309927846361674	0.410479385838357
ENSMUSG00000061024	329.490775752016	0.166516283776502	0.15029973299525	1.1078947411155	0.26790727703718	0.364629360612694
ENSMUSG00000025911	59.9879848068483	1.81771562293849	0.334890172151393	5.42779625708681	5.70541147482041e-08	2.49535394803441e-07
ENSMUSG00000025912	362.750156996061	1.83778412170042	0.16899011349588	10.875098452107	1.51492156403097e-27	1.71901516362958e-26
ENSMUSG00000045210	1487.39920770938	0.818644501096529	0.0916510174634363	8.93219217586016	4.17649180604585e-19	3.50808136278903e-18
ENSMUSG00000025915	28.8030346512558	-1.06822860654152	0.484007511954626	-2.2070496431503	0.0273105913015763	0.0520677187929088
ENSMUSG00000098234	130.100013136616	0.292300325693298	0.22297196372004	1.3109286065234	0.189881885059573	0.275124438567636
ENSMUSG00000025917	673.221569552303	-0.198110982178147	0.114386134704669	-1.73194926718737	0.0832825957016343	0.137421328978528
ENSMUSG00000056763	335.182650216538	0.144650554233129	0.148206733712087	0.976005277291473	0.329061849158585	0.431495212920427
ENSMUSG00000067851	1263.73569033538	0.224144380547949	0.0952135967332052	2.35412155656735	0.0185665384827898	0.036967169635514
ENSMUSG00000048960	47.779013081489	1.30948702771564	0.365863828156636	3.57916505250969	0.00034469372592554	0.000980325275288348
ENSMUSG00000016918	1592.34774988438	0.935851876023418	0.0910767619719461	10.2754188418741	9.0948523795713e-25	9.4136331006458e-24
ENSMUSG00000025938	34.5611066583788	0.0316458982145073	0.433669675358478	0.0729723566406812	0.941828115053437	0.958168981402944
ENSMUSG00000005886	802.823249979689	0.0278614878112229	0.109536346878585	0.254358380621418	0.799218701211752	0.850431986051057
ENSMUSG00000025935	1157.78077715914	0.223099371886409	0.0962850124221507	2.31707268113811	0.0204997728841286	0.040363868363592
ENSMUSG00000025937	619.154017417841	-0.0980474509078528	0.123552239922477	-0.793570808342873	0.427445332284666	0.53164950240014
ENSMUSG00000025932	586.765785185868	0.0049587641105606	0.119535645677781	0.0414835598406136	0.966910398918537	0.976311027333499
ENSMUSG00000025925	152.077579807481	0.530288265332787	0.209940638920284	2.52589621552091	0.0115403567818304	0.0242128184148829
ENSMUSG00000043716	7749.00477613921	0.240161855935507	0.0763720782891028	3.14462904919761	0.00166297547625906	0.0041907802717571
ENSMUSG00000025921	206.538502584754	-0.913481474647895	0.203628811771838	-4.48601289129671	7.25683526098451e-06	2.5755145126952e-05
ENSMUSG00000025920	234.777437372365	-0.00130433723756745	0.178807488148778	-0.00729464549315833	0.994179766602092	0.995736084377678
ENSMUSG00000025939	547.611849759731	-0.0999863785802936	0.13204518980251	-0.757213335297074	0.448922062208736	0.551588116339288
ENSMUSG00000079658	543.372715788754	-0.291091710517474	0.123057699046508	-2.3654896261912	0.0180062477426437	0.0359531736786927
ENSMUSG00000025940	343.102096807948	-0.228131163699394	0.151996348532706	-1.50089897488759	0.133381693372097	0.205170409473458
ENSMUSG00000025779	75.9796248347031	0.66251528350193	0.298471062129627	2.21969687370965	0.0264393512144586	0.0505719133967833
ENSMUSG00000042686	326.590541406766	-0.545095506281321	0.15259119120316	-3.57226063957769	0.000353912913516137	0.00100491259386938
ENSMUSG00000067780	613.195022422241	-3.47403764178082	0.159095381942432	-21.8361941079967	1.05158824021938e-105	5.26008729954635e-104
ENSMUSG00000025776	13.8977520906857	-2.32020398581699	0.793515666839184	-2.92395485404727	0.00345614868626499	0.00812801806758347
ENSMUSG00000067773	30.6644645660512	-0.914713511762265	0.464492539491044	-1.96927492692249	0.0489215287995551	0.0867004100417278
ENSMUSG00000100720	80.328979264745	-0.419304608263001	0.284199734109325	-1.47538705332393	0.14010851406363	0.213614063181113
ENSMUSG00000043760	34.1782508834748	-1.57104742891743	0.482099020127853	-3.25876503233878	0.00111898303087007	0.00291334970114993
ENSMUSG00000099906	515.42371060926	-4.26241791486192	0.199898134140377	-21.3229499774554	6.95342101610468e-101	3.34173233538678e-99
ENSMUSG00000041859	313.04170690441	-0.0103459772756804	0.154157445311087	-0.0671130561018473	0.94649170006444	0.961636195016557
ENSMUSG00000025931	20.6469287793662	-0.484532627248172	0.550529168968701	-0.880121625809293	0.378793424979929	0.483855891508134
ENSMUSG00000041779	556.884780049285	-0.375207957065442	0.123910528096317	-3.02805550771109	0.00246132872509936	0.00599912162412343
