C1	C2	IL8_1	IL8_2
ENSMUSG00000026078	733.739524445453	720.229120670289	683.643258488188	716.117780910793
ENSMUSG00000103046	22.2345310438016	31.0687071661693	36.1852764417188	24.4594308470479
ENSMUSG00000073702	3009.47382344212	3417.55778827863	3508.67948354524	3534.38775739843
ENSMUSG00000003134	84.1306580035736	86.6157896753812	85.2938658983373	63.8662916561807
ENSMUSG00000003135	377.987027744627	385.063673665553	314.03650626206	315.254886473062
ENSMUSG00000048234	193.500513408219	195.82700274434	602.226386494321	553.05490859714
ENSMUSG00000026074	4472.14540616139	4457.88874035793	7199.57768060056	6671.98919216697
ENSMUSG00000026072	861.738311265176	851.094281158094	173.172394399654	213.340591277029
ENSMUSG00000026068	12.619598700536	15.0636155957185	329.544481879939	320.690315550184
ENSMUSG00000026062	58.2905273310474	58.3715104334091	47.8162581551285	47.5600044248154
ENSMUSG00000079588	368.973028672816	438.7278042253	136.987117957936	138.603441466605
ENSMUSG00000060679	262.607839625441	259.847369026144	271.389573312891	244.594308470479
ENSMUSG00000070939	570.285674609938	524.402117925949	572.502766560052	543.542907712177
ENSMUSG00000010290	634.585534655527	581.832152384626	573.795097861542	558.490337674261
ENSMUSG00000008136	383.996360459168	441.552232149498	603.518717795811	525.877763211531
ENSMUSG00000066877	236.767708952914	230.661613809439	213.234664745843	198.393161314944
ENSMUSG00000057363	840.705646764282	840.738045436037	440.684973808076	476.958901517435
ENSMUSG00000041763	1224.70200722345	1284.173229535	1612.82946425947	1568.12128874963
ENSMUSG00000026049	53.4830611594147	36.7175630145638	49.1085894566184	57.0720053097785
ENSMUSG00000026047	364.165562501183	389.771053539215	249.419941187562	235.082307585516
ENSMUSG00000041684	317.292767327763	299.389359964905	227.450309062233	289.436598356734
ENSMUSG00000026048	427.263556003863	430.254520452709	1418.97976903597	1126.49267623349
ENSMUSG00000056870	884.573775580431	849.211329208629	104.678835420687	95.1200088496309
ENSMUSG00000026043	60562.0550971439	61508.5083812174	19651.1897704563	20643.7596349085
ENSMUSG00000026042	16496.8201679579	16354.3791570766	14596.8820503291	13468.9932531077
ENSMUSG00000025995	564.877275166852	580.890676409893	484.624238058735	422.604610746217
ENSMUSG00000025993	100.355856332834	91.3231695490432	78.8322093908875	74.7371498104243
ENSMUSG00000025986	289.649836840875	264.554748899806	653.919638553919	582.949768521309
ENSMUSG00000026109	54.6849277023229	64.9618422565359	45.2315955521486	44.8422898862546
ENSMUSG00000045954	2276.33523226812	2249.18610363571	613.85736820773	562.566909482103
ENSMUSG00000026107	222.345310438016	240.076373556763	719.828534929907	649.533774716051
ENSMUSG00000018417	197.106113036944	177.938959224424	422.592335587216	414.451467130535
ENSMUSG00000072324	57.6895940595933	38.6005149640286	43.9392642506586	86.9668652339483
ENSMUSG00000026104	480.746617163278	583.715104334091	4682.11630529812	4708.44043805673
ENSMUSG00000026103	1231.31227320945	1158.01544892086	1562.42854350136	1474.36013716928
ENSMUSG00000002881	558.867942452311	584.656580308823	856.815652887843	883.257225032287
ENSMUSG00000043015	52.8821278879606	81.9084098017192	41.3546016476787	46.201147155535
